Name,MIME Type / Internet Media Type,File Extension,More Details,More Details_link0
JPEG 2000 Compound Image File Format,video/jpm,.jpm,IANA: JPM,http://www.iana.org/assignments/media-types/video/jpm
Motion JPEG 2000,video/mj2,.mj2,IANA: MJ2,http://www.iana.org/assignments/media-types/video/mj2
MPEG-4 Video,video/mp4,.mp4,Wikipedia: MP4,https://en.wikipedia.org/wiki/MPEG-4_Part_14
MPEG Video,video/mpeg,.mpeg,Wikipedia: MPEG,https://en.wikipedia.org/wiki/Mpeg
Ogg Video,video/ogg,.ogv,Wikipedia: Ogg,https://en.wikipedia.org/wiki/Ogg
Quicktime Video,video/quicktime,.qt,Wikipedia: Quicktime,https://en.wikipedia.org/wiki/Quicktime
DECE High Definition Video,video/vnd.dece.hd,.uvh,IANA: DECE HD Video,http://www.iana.org/assignments/media-types/video/vnd.dece.hd
DECE Mobile Video,video/vnd.dece.mobile,.uvm,IANA: DECE Mobile Video,http://www.iana.org/assignments/media-types/video/vnd.dece.mobile
DECE PD Video,video/vnd.dece.pd,.uvp,IANA: DECE PD Video,http://www.iana.org/assignments/media-types/video/vnd.dece.pd
DECE SD Video,video/vnd.dece.sd,.uvs,IANA: DECE SD Video,http://www.iana.org/assignments/media-types/video/vnd.dece.sd
DECE Video,video/vnd.dece.video,.uvv,IANA: DECE Video,http://www.iana.org/assignments/media-types/video/vnd.dece.video
FAST Search & Transfer ASA,video/vnd.fvt,.fvt,IANA: FVT,http://www.iana.org/assignments/media-types/video/vnd.fvt
MPEG Url,video/vnd.mpegurl,.mxu,IANA: MPEG Url,http://www.iana.org/assignments/media-types/video/vnd-mpegurl
Microsoft PlayReady Ecosystem Video,video/vnd.ms-playready.media.pyv,.pyv,IANA: Microsoft PlayReady Ecosystem,http://www.iana.org/assignments/media-types/video/vnd.ms-playready.media.pyv
DECE MP4,video/vnd.uvvu.mp4,.uvu,IANA: DECE MP4,http://www.iana.org/assignments/media-types/video/vnd.uvvu-mp4
Vivo,video/vnd.vivo,.viv,IANA: Vivo,http://www.iana.org/assignments/media-types/video/vnd-vivo
Open Web Media Project - Video,video/webm,.webm,WebM Project,http://www.webmproject.org/about/faq/
Flash Video,video/x-f4v,.f4v,Wikipedia: Flash Video,https://en.wikipedia.org/wiki/Flash_Video
FLI/FLC Animation Format,video/x-fli,.fli,FLI/FLC Animation Format,http://www.aos.wisc.edu/fli.html
Flash Video,video/x-flv,.flv,Wikipedia: Flash Video,https://en.wikipedia.org/wiki/Flash_Video
M4v,video/x-m4v,.m4v,Wikipedia: M4v,https://en.wikipedia.org/wiki/M4v
Microsoft Advanced Systems Format (ASF),video/x-ms-asf,.asf,Wikipedia: Advanced Systems Format (ASF),https://en.wikipedia.org/wiki/Advanced_Systems_Format
Microsoft Windows Media,video/x-ms-wm,.wm,Wikipedia: Advanced Systems Format (ASF),https://en.wikipedia.org/wiki/Advanced_Systems_Format
Microsoft Windows Media Video,video/x-ms-wmv,.wmv,Wikipedia: Advanced Systems Format (ASF),https://en.wikipedia.org/wiki/Advanced_Systems_Format
Microsoft Windows Media Audio/Video Playlist,video/x-ms-wmx,.wmx,Wikipedia: Advanced Systems Format (ASF),https://en.wikipedia.org/wiki/Advanced_Systems_Format
Microsoft Windows Media Video Playlist,video/x-ms-wvx,.wvx,Wikipedia: Advanced Systems Format (ASF),https://en.wikipedia.org/wiki/Advanced_Systems_Format
Audio Video Interleave (AVI),video/x-msvideo,.avi,Wikipedia: AVI,https://en.wikipedia.org/wiki/Audio_Video_Interleave
SGI Movie,video/x-sgi-movie,.movie,SGI Facts,http://www.pimpworks.org/sgi/faq/movie.shtml
CoolTalk,x-conference/x-cooltalk,.ice,Wikipedia: CoolTalk,https://en.wikipedia.org/wiki/CoolTalk
BAS Partitur Format,text/plain-bas,.par,Phonetik BAS,http://www.bas.uni-muenchen.de/Bas/BasFormatseng.html#Partitur
YAML Ain't Markup Language / Yet Another Markup Language,text/yaml,.yaml,YAML: YAML Ain't Markup Language,http://www.yaml.org/
